media,bias,quality
Zeit,2.9,2.8
Stern,2.8,1.9
Spiegel Print,2.6,2.5
SPON,2.4,1.9
Wirtschaftswoche,4.0,3.2
Cicero,4.5,3.5
Tichys,4.9,3.6
Süddeutsche,2.7,2.8
Vice,2.2,1.6
Achgut,4.7,3.3
BILD,3.7,1.5
Deutschlandfunk,3.1,2.8
Handelsblatt,3.8,3.1
ARD,2.7,2.4
ZDF,2.7,2.4
Tagesspiegel,2.7,2.4
Die Welt,3.7,2.6
MDR,3.2,2.4
BR,3.6,2.5
der Freitag,2.4,2.5
Frankfurter Rundschau,2.5,2.3
RT Deutsch,4.7,2.4
WDR,2.8,2.4
Focus Online,3.8,2.1
Frankfurter Allgemeine,3.8,3.0
NDR,2.8,2.4
die Tageszeitung,2.0,2.0
neues Deutschland,2.1,1.9
junge Welt,2.3,1.9
junge Freiheit,5.0,2.7
NachDenkSeiten,3.0,2.8
Compact,5.1,2.6
Jungle World,2.0,1.7
Deutsche Wirtschafts Nachrichten,4.4,2.7
MM News,4.7,2.1
indymedia,1.8,1.5
NTV,3.2,2.1
RTL,3.4,1.6
N24,3.4,2.1
