media,bias,quality
Zeit,3.7,3.5
Stern,3.9,2.1
Spiegel Print,3.5,2.9
SPON,3.5,2.1
Wirtschaftswoche,4.4,3.1
Cicero,4.9,3.1
Tichys,5.5,2.6
Süddeutsche,3.6,3.3
Vice,2.9,1.8
Achgut,5.2,2.4
BILD,5.2,1.3
Deutschlandfunk,3.9,3.5
Handelsblatt,4.3,3.2
ARD,3.8,2.9
ZDF,3.8,2.8
Tagesspiegel,3.7,2.8
Die Welt,4.8,2.5
MDR,4.1,2.5
BR,4.5,2.6
der Freitag,2.7,2.9
Frankfurter Rundschau,3.4,2.8
RT Deutsch,5.1,2.0
WDR,3.6,2.8
Focus Online,5.0,1.7
Frankfurter Allgemeine,4.6,3.3
NDR,3.7,2.8
die Tageszeitung,2.8,2.7
neues Deutschland,2.6,2.4
junge Welt,2.4,2.3
junge Freiheit,5.8,1.9
NachDenkSeiten,3.1,3.0
Compact,6.0,1.8
Jungle World,2.3,2.3
Deutsche Wirtschafts Nachrichten,5.1,2.2
MM News,5.2,1.7
indymedia,2.1,1.8
NTV,4.4,2.1
RTL,4.6,1.5
N24,4.5,2.0
