media,bias,quality
Zeit,3.8,3.6
Stern,4.1,2.1
Spiegel Print,3.8,3.1
SPON,3.8,2.2
Wirtschaftswoche,4.6,3.0
Cicero,5.1,2.9
Tichys,5.7,2.2
Süddeutsche,3.7,3.4
Vice,3.0,1.9
Achgut,5.4,2.0
BILD,5.6,1.2
Deutschlandfunk,4.0,3.6
Handelsblatt,4.5,3.2
ARD,4.0,3.0
ZDF,4.1,2.9
Tagesspiegel,3.9,2.9
Die Welt,5.0,2.5
MDR,4.4,2.6
BR,4.7,2.7
der Freitag,2.8,3.1
Frankfurter Rundschau,3.6,2.9
RT Deutsch,5.2,1.9
WDR,3.8,3.0
Focus Online,5.2,1.7
Frankfurter Allgemeine,4.7,3.4
NDR,3.9,3.0
die Tageszeitung,3.0,2.9
neues Deutschland,2.7,2.5
junge Welt,2.5,2.4
junge Freiheit,6.0,1.6
NachDenkSeiten,3.1,3.0
Compact,6.2,1.6
Jungle World,2.5,2.5
Deutsche Wirtschafts Nachrichten,5.2,2.1
MM News,5.5,1.6
indymedia,2.2,1.9
NTV,4.7,2.1
RTL,4.9,1.5
N24,4.7,2.0
