media,bias,quality
Zeit,3.2,3.4
Stern,3.3,2.0
Spiegel Print,2.9,2.9
SPON,2.7,2.1
Wirtschaftswoche,4.2,3.5
Cicero,4.7,3.6
Tichys,5.1,3.2
Süddeutsche,3.2,3.1
Vice,2.3,1.7
Achgut,4.6,2.9
BILD,4.4,1.3
Deutschlandfunk,3.6,3.3
Handelsblatt,4.1,3.4
ARD,3.1,2.6
ZDF,3.2,2.6
Tagesspiegel,3.4,2.6
Die Welt,4.4,2.8
MDR,3.5,2.3
BR,4.2,2.5
der Freitag,2.2,2.1
Frankfurter Rundschau,3.2,2.6
RT Deutsch,5.0,1.8
WDR,3.2,2.4
Focus Online,4.5,1.9
Frankfurter Allgemeine,4.2,3.6
NDR,3.4,2.6
die Tageszeitung,2.4,2.3
neues Deutschland,2.5,1.9
junge Welt,1.9,1.8
junge Freiheit,5.6,2.3
NachDenkSeiten,3.0,2.4
Compact,5.7,2.0
Jungle World,1.8,1.8
Deutsche Wirtschafts Nachrichten,4.9,2.3
MM News,4.4,1.7
indymedia,1.5,1.4
NTV,3.9,2.2
RTL,3.7,1.6
N24,4.1,2.1
