media,site
Zeit,zeit.de
Stern,stern.de
Spiegel Print,spiegel.de
SPON,spiegel.de
Wirtschaftswoche,wiwo.de
Cicero,cicero.de
Tichys,tichyseinblick.de
Süddeutsche,sueddeutsche.de
Vice,vice.com/de
Achgut,achgut.com
BILD,bild.de
Deutschlandfunk,deutschlandfunk.de
Handelsblatt,handelsblatt.com
ARD,ard.de
ZDF,zdf.de
Tagesspiegel,tagesspiegel.de
Die Welt,welt.de
MDR,mdr.de
BR,br.de
der Freitag,freitag.de
Frankfurter Rundschau,fr.de
Frankfurter Rundschau,fr-online.de
RT Deutsch,deutsch.rt.com
WDR,wdr.de
Focus Online,focus.de
Frankfurter Allgemeine,faz.net
NDR,ndr.de
die Tageszeitung,taz.de
neues Deutschland,neues-deutschland.de
junge Welt,jungewelt.de
junge Freiheit,jungefreiheit.de
NachDenkSeiten,nachdenkseiten.de
Compact,compact-online.de
Jungle World,jungle.world
Deutsche Wirtschafts Nachrichten,deutsche-wirtschafts-nachrichten.de
MM News,mmnews.de
indymedia,indymedia.org
NTV,n-tv.de
RTL,rtl.de;rtl.lu
N24,welt.de
